protein_id,accession,prophage_id,original_product,length_aa,putative_function,nearest_neighbor_protein_id,nearest_neighbor_prophage_id,cosine_similarity,confidence
GCA_000392485.2__pp2__2026993-2083990__LBP_cg1973,GCA_000392485.2,pp2,hypothetical protein,119,Prophage Lp2 protein 54,GCA_000392485.2__pp1__1695128-1736475__LBP_cg1637,pp1,0.9782,high
GCA_000392485.2__pp2__2026993-2083990__LBP_cg1975,GCA_000392485.2,pp2,hypothetical protein,42,XkdX family protein,GCF_000248095.2__pp2__574154-622103__LBLM1_RS11715,pp2,0.9831,high
GCA_000392485.2__pp2__2026993-2083990__LBP_cg1995,GCA_000392485.2,pp2,hypothetical protein,71,DUF2273 domain-containing protein,GCF_001704335.1__pp8__24101-56829__AVR83_RS17455,pp8,0.973,high
GCA_000392485.2__pp2__2026993-2083990__LBP_cg1998,GCA_000392485.2,pp2,hypothetical protein,66,RusA family crossover junction endodeoxyribonuclease,GCF_000248095.2__pp2__574154-622103__LBLM1_RS02915,pp2,0.9755,high
GCA_000392485.2__pp2__2026993-2083990__LBP_cg1999,GCA_000392485.2,pp2,hypothetical protein,121,ASCH domain-containing protein,GCF_000008065.1__pp1__327894-370611__LJ_RS01620,pp1,0.9937,high
GCA_000392485.2__pp2__2026993-2083990__LBP_cg2001,GCA_000392485.2,pp2,hypothetical protein,181,XkdX family protein,GCF_000026505.1__pp1__1102527-1140943__LGG_RS14710,pp1,0.8808,high
GCA_000392485.2__pp2__2026993-2083990__LBP_cg2002,GCA_000392485.2,pp2,hypothetical protein,155,ArpU family phage packaging/lysis transcriptional regulator,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10490,pp5,0.9991,high
GCA_000392485.2__pp2__2026993-2083990__LBP_cg2004,GCA_000392485.2,pp2,hypothetical protein,65,phage terminase small subunit P27 family,GCF_000026505.1__pp2__1528627-1569239__LGG_RS07350,pp2,0.9691,high
GCA_000392485.2__pp2__2026993-2083990__LBP_cg2009,GCA_000392485.2,pp2,hypothetical protein,321,exodeoxyribonuclease X C-terminal domain-containing protein,GCF_001704335.1__pp4__2129360-2166303__AVR83_RS09935,pp4,0.9993,high
GCA_000392485.2__pp2__2026993-2083990__LBP_cg2010,GCA_000392485.2,pp2,hypothetical protein,176,host-nuclease inhibitor Gam family protein,GCF_001704335.1__pp4__2129360-2166303__AVR83_RS09930,pp4,0.9998,high
GCA_000392485.2__pp2__2026993-2083990__LBP_cg2011,GCA_000392485.2,pp2,hypothetical protein,37,AbrB family transcriptional regulator,GCF_041888805.1__pp5__1559525-1628400__ACEPPB_RS08015,pp5,0.9707,high
GCA_000392485.2__pp2__2026993-2083990__LBP_cg2012,GCA_000392485.2,pp2,hypothetical protein,56,transcriptional regulator,GCF_000016825.1__pp1__733651-741034__LREU_RS03620,pp1,0.9612,high
GCA_000392485.2__pp2__2026993-2083990__LBP_cg2017,GCA_000392485.2,pp2,putative prophage Lp1 protein 2,239,Ltp family lipoprotein,GCF_000203855.3__pp1__590128-628381__LP_RS15865,pp1,0.9593,high
GCA_000392485.2__pp2__2026993-2083990__LBP_cg2020,GCA_000392485.2,pp2,hypothetical protein,48,XkdX family protein,GCF_000203855.3__pp1__590128-628381__LP_RS02950,pp1,0.9258,high
GCA_000392485.2__pp2__2026993-2083990__LBP_cg2025,GCA_000392485.2,pp2,hypothetical protein,66,Prophage Lp3 protein 24,GCA_000392485.2__pp2__2026993-2083990__LBP_cg2019,pp2,0.9777,high
GCA_000392485.2__pp2__2026993-2083990__LBP_cg2028,GCA_000392485.2,pp2,hypothetical protein,72,SHOCT domain-containing protein,GCF_000014425.1__pp2__1464980-1483558__LGAS_RS07325,pp2,0.7888,medium
GCA_000392485.2__pp2__2026993-2083990__LBP_cg2031,GCA_000392485.2,pp2,hypothetical protein,94,eL43 family ribosomal protein,GCF_001704335.1__pp4__2129360-2166303__AVR83_RS09965,pp4,0.9839,high
GCA_000392485.2__pp2__2026993-2083990__LBP_cg2035,GCA_000392485.2,pp2,hypothetical protein,72,phage head-tail connector protein,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10550,pp5,0.9849,high
GCA_000392485.2__pp2__2026993-2083990__LBP_cg2036,GCA_000392485.2,pp2,hypothetical protein,47,DUF1056 family protein,GCF_000016825.1__pp3__1162622-1201468__LREU_RS10250,pp3,0.965,high
GCA_000392485.2__pp2__2026993-2083990__LBP_cg2038,GCA_000392485.2,pp2,hypothetical protein,214,helix-turn-helix domain-containing protein,GCF_000023085.1__pp1__39443-53448__JDM1_RS00155,pp1,0.9995,high
GCF_000008065.1__pp1__327894-370611__LJ_RS01505,GCF_000008065.1,pp1,hypothetical protein,139,energy-coupling factor ABC transporter substrate-binding protein,GCF_041888805.1__pp7__1962103-2002786__ACEPPB_RS09780,pp7,0.986,high
GCF_000008065.1__pp1__327894-370611__LJ_RS10000,GCF_000008065.1,pp1,hypothetical protein,43,BC1881 family protein,GCF_000412205.1__pp2__2033545-2090819__LP16_RS16845,pp2,0.9836,high
GCF_000008065.1__pp1__327894-370611__LJ_RS09765,GCF_000008065.1,pp1,hypothetical protein,50,bacteriocin immunity protein,GCF_000389675.2__pp1__1807540-1828028__LA14_RS08925,pp1,0.9663,high
GCF_000008065.1__pp1__327894-370611__LJ_RS01555,GCF_000008065.1,pp1,hypothetical protein,121,DUF1642 domain-containing protein,GCF_000338115.2__pp3__2072879-2122999__ZJ316_RS09860,pp3,0.9787,high
GCF_000008065.1__pp1__327894-370611__LJ_RS01575,GCF_000008065.1,pp1,hypothetical protein,94,DUF6275 family protein,GCF_000016825.1__pp2__869104-911067__LREU_RS04435,pp2,0.9765,high
GCF_000008065.1__pp1__327894-370611__LJ_RS01585,GCF_000008065.1,pp1,hypothetical protein,61,phage head-tail connector protein,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10550,pp5,0.9816,high
GCF_000008065.1__pp1__327894-370611__LJ_RS10005,GCF_000008065.1,pp1,hypothetical protein,41,XkdX family protein,GCF_000203855.3__pp1__590128-628381__LP_RS02950,pp1,0.977,high
GCF_000008065.1__pp1__327894-370611__LJ_RS01615,GCF_000008065.1,pp1,hypothetical protein,351,Prophage protein,GCA_000392485.2__pp2__2026993-2083990__LBP_cg2000,pp2,0.9932,high
GCF_000008065.1__pp1__327894-370611__LJ_RS01625,GCF_000008065.1,pp1,hypothetical protein,196,phage holin,GCF_000014425.1__pp1__600763-679301__LGAS_RS03115,pp1,0.9718,high
GCF_000008065.1__pp1__327894-370611__LJ_RS01660,GCF_000008065.1,pp1,hypothetical protein,121,phage tail protein,GCF_000010145.1__pp2__531913-574579__LAF_RS02760,pp2,0.9879,high
GCF_000008065.1__pp1__327894-370611__LJ_RS01675,GCF_000008065.1,pp1,hypothetical protein,117,phage head closure protein,GCF_041888805.1__pp4__1529913-1535609__ACEPPB_RS07540,pp4,0.9875,high
GCF_000008065.1__pp1__327894-370611__LJ_RS01680,GCF_000008065.1,pp1,HK97-gp10 family putative phage morphogenesis protein,182,HK97 gp10 family phage protein,GCF_000148815.2__pp4__2142373-2187941__LPST_RS10115,pp4,0.9898,high
GCF_000008065.1__pp1__327894-370611__LJ_RS01685,GCF_000008065.1,pp1,hypothetical protein,122,DUF806 family protein,GCF_000338115.2__pp3__2072879-2122999__ZJ316_RS09785,pp3,0.9913,high
GCF_000008065.1__pp1__327894-370611__LJ_RS01700,GCF_000008065.1,pp1,hypothetical protein,97,phage head-tail connector protein,GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09260,pp2,0.9862,high
GCF_000008065.1__pp1__327894-370611__LJ_RS01715,GCF_000008065.1,pp1,hypothetical protein,1624,phage tail protein,GCF_000023085.1__pp2__513673-552269__JDM1_RS02590,pp2,0.9902,high
GCF_000008065.1__pp1__327894-370611__LJ_RS09770,GCF_000008065.1,pp1,hypothetical protein,51,phage tail tube assembly chaperone,GCF_000016825.1__pp3__1162622-1201468__LREU_RS05815,pp3,0.942,high
GCF_000008065.1__pp1__327894-370611__LJ_RS01720,GCF_000008065.1,pp1,hypothetical protein,86,phage tail assembly chaperone,GCF_000148815.2__pp3__1793105-1845954__LPST_RS08360,pp3,0.9842,high
GCF_000008065.1__pp1__327894-370611__LJ_RS01725,GCF_000008065.1,pp1,hypothetical protein,135,DUF1056 family protein,GCF_001704335.1__pp1__2461-18355__AVR83_RS00075,pp1,0.9837,high
GCF_000008065.1__pp1__327894-370611__LJ_RS01730,GCF_000008065.1,pp1,hypothetical protein,85,phage holin,GCF_000008065.1__pp1__327894-370611__LJ_RS01735,pp1,0.9576,high
GCF_000008065.1__pp1__327894-370611__LJ_RS01745,GCF_000008065.1,pp1,hypothetical protein,72,sporulation protein Cse60,GCF_000008065.1__pp2__1286306-1330377__LJ_RS06240,pp2,0.9892,high
GCF_000008065.1__pp2__1286306-1330377__LJ_RS06110,GCF_000008065.1,pp2,hypothetical protein,73,phage tail tube assembly chaperone,GCF_000016825.1__pp3__1162622-1201468__LREU_RS05815,pp3,0.9687,high
GCF_000008065.1__pp2__1286306-1330377__LJ_RS06115,GCF_000008065.1,pp2,hypothetical protein,133,DUF3278 domain-containing protein,GCF_041888805.1__pp8__2084984-2096462__ACEPPB_RS10390,pp8,0.9771,high
GCF_000008065.1__pp2__1286306-1330377__LJ_RS06125,GCF_000008065.1,pp2,hypothetical protein,130,phage tail tube assembly chaperone,GCF_000016825.1__pp3__1162622-1201468__LREU_RS05815,pp3,0.972,high
GCF_000008065.1__pp2__1286306-1330377__LJ_RS06135,GCF_000008065.1,pp2,hypothetical protein,269,phage tail family protein,GCF_000248095.2__pp2__574154-622103__LBLM1_RS03040,pp2,0.9953,high
GCF_000008065.1__pp2__1286306-1330377__LJ_RS06145,GCF_000008065.1,pp2,hypothetical protein,113,protein-tyrosine phosphatase family protein,GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09445,pp2,0.9842,high
GCF_000008065.1__pp2__1286306-1330377__LJ_RS06160,GCF_000008065.1,pp2,hypothetical protein,125,DUF3168 domain-containing protein,GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09245,pp2,0.993,high
GCF_000008065.1__pp2__1286306-1330377__LJ_RS06165,GCF_000008065.1,pp2,HK97-gp10 family putative phage morphogenesis protein,92,tail protein,GCF_000203855.3__pp3__2163938-2219895__LP_RS10305,pp3,0.9869,high
GCF_000008065.1__pp2__1286306-1330377__LJ_RS06170,GCF_000008065.1,pp2,hypothetical protein,87,head-tail connector protein,GCF_000338115.2__pp4__2405913-2448170__ZJ316_RS11500,pp4,0.978,high
GCF_000008065.1__pp2__1286306-1330377__LJ_RS06180,GCF_000008065.1,pp2,hypothetical protein,311,Prophage Lp2 protein 40,GCA_000392485.2__pp2__2026993-2083990__LBP_cg1990,pp2,0.9864,high
GCF_000008065.1__pp2__1286306-1330377__LJ_RS06200,GCF_000008065.1,pp2,hypothetical protein,479,minor capsid protein,GCF_000248095.2__pp2__574154-622103__LBLM1_RS02975,pp2,0.9931,high
GCF_000008065.1__pp2__1286306-1330377__LJ_RS06220,GCF_000008065.1,pp2,hypothetical protein,218,DUF1828 domain-containing protein,GCF_014131735.1__pp1__1061088-1107946__E5260_RS04750,pp1,0.9889,high
GCF_000008065.1__pp2__1286306-1330377__LJ_RS06245,GCF_000008065.1,pp2,hypothetical protein,184,DUF6275 family protein,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10510,pp5,0.981,high
GCF_000008065.1__pp2__1286306-1330377__LJ_RS06250,GCF_000008065.1,pp2,hypothetical protein,132,phage terminase small subunit P27 family,GCF_014131735.1__pp2__2214048-2255622__E5260_RS10495,pp2,0.9908,high
GCF_000008065.1__pp2__1286306-1330377__LJ_RS06255,GCF_000008065.1,pp2,hypothetical protein,71,phage tail tube assembly chaperone,GCF_000010145.1__pp2__531913-574579__LAF_RS02765,pp2,0.9693,high
GCF_000008065.1__pp2__1286306-1330377__LJ_RS06260,GCF_000008065.1,pp2,hypothetical protein,296,conserved phage C-terminal domain-containing protein,GCF_000014425.1__pp1__600763-679301__LGAS_RS02875,pp1,0.9918,high
GCF_000008065.1__pp2__1286306-1330377__LJ_RS09805,GCF_000008065.1,pp2,hypothetical protein,48,XkdX family protein,GCF_000203855.3__pp1__590128-628381__LP_RS02950,pp1,0.9658,high
GCF_000008065.1__pp2__1286306-1330377__LJ_RS10015,GCF_000008065.1,pp2,hypothetical protein,43,BC1881 family protein,GCF_000412205.1__pp2__2033545-2090819__LP16_RS16845,pp2,0.9899,high
GCF_000008065.1__pp2__1286306-1330377__LJ_RS06310,GCF_000008065.1,pp2,hypothetical protein,134,ImmA/IrrE family metallo-endopeptidase,GCF_000014425.1__pp1__600763-679301__LGAS_RS02830,pp1,0.9881,high
GCF_000008065.1__pp2__1286306-1330377__LJ_RS09660,GCF_000008065.1,pp2,hypothetical protein,99,YSIRK-type signal peptide-containing protein,GCF_000165775.1__pp2__1078648-1089876__R0052_RS12790,pp2,0.9468,high
GCF_000008065.1__pp2__1286306-1330377__LJ_RS06325,GCF_000008065.1,pp2,hypothetical protein,98,HIRAN domain-containing protein,GCF_000148815.2__pp3__1793105-1845954__LPST_RS08525,pp3,0.9782,high
GCF_000008065.1__pp2__1286306-1330377__LJ_RS06330,GCF_000008065.1,pp2,hypothetical protein,151,DUF1828 domain-containing protein,GCF_000008065.1__pp1__327894-370611__LJ_RS01510,pp1,0.9854,high
GCF_000008065.1__pp2__1286306-1330377__LJ_RS06335,GCF_000008065.1,pp2,hypothetical protein,125,hemolysin XhlA family protein,GCF_000148815.2__pp3__1793105-1845954__LPST_RS08315,pp3,0.9669,high
GCF_000008065.1__pp2__1286306-1330377__LJ_RS06340,GCF_000008065.1,pp2,hypothetical protein,291,Ltp family lipoprotein,GCF_000203855.3__pp1__590128-628381__LP_RS15865,pp1,0.9809,high
GCF_000010145.1__pp1__269380-295395__LAF_RS01335,GCF_000010145.1,pp1,hypothetical protein,254,Ltp family lipoprotein,GCF_000203855.3__pp1__590128-628381__LP_RS15865,pp1,0.9625,high
GCF_000010145.1__pp1__269380-295395__LAF_RS01345,GCF_000010145.1,pp1,hypothetical protein,122,phage related protein,GCF_000008065.1__pp1__327894-370611__LJ_RS01590,pp1,0.9818,high
GCF_000010145.1__pp1__269380-295395__LAF_RS01350,GCF_000010145.1,pp1,hypothetical protein,70,phage head-tail connector protein,GCF_014131735.1__pp1__1061088-1107946__E5260_RS04995,pp1,0.8373,high
GCF_000010145.1__pp1__269380-295395__LAF_RS01355,GCF_000010145.1,pp1,hypothetical protein,169,phage head-tail connector protein,GCF_000008065.1__pp2__1286306-1330377__LJ_RS06175,pp2,0.9864,high
GCF_000010145.1__pp1__269380-295395__LAF_RS01360,GCF_000010145.1,pp1,hypothetical protein,111,DUF6877 family protein,GCF_000203855.3__pp3__2163938-2219895__LP_RS10380,pp3,0.9836,high
GCF_000010145.1__pp1__269380-295395__LAF_RS01365,GCF_000010145.1,pp1,hypothetical protein,116,"prophage P3 protein 11, DNA replication",GCF_000203855.3__pp4__2999326-3007279__LP_RS14110,pp4,0.9785,high
GCF_000010145.1__pp1__269380-295395__LAF_RS01380,GCF_000010145.1,pp1,hypothetical protein,67,RusA family crossover junction endodeoxyribonuclease,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10450,pp5,0.9732,high
GCF_000010145.1__pp1__269380-295395__LAF_RS11320,GCF_000010145.1,pp1,hypothetical protein,49,DUF1056 family protein,GCF_000338115.2__pp3__2072879-2122999__ZJ316_RS09820,pp3,0.9833,high
GCF_000010145.1__pp1__269380-295395__LAF_RS11045,GCF_000010145.1,pp1,hypothetical protein,63,recombinase family protein,GCF_041888805.1__pp5__1559525-1628400__ACEPPB_RS08060,pp5,0.9639,high
GCF_000010145.1__pp2__531913-574579__LAF_RS02585,GCF_000010145.1,pp2,hypothetical protein,94,Prophage Lp3 protein 24,GCA_000392485.2__pp2__2026993-2083990__LBP_cg2019,pp2,0.9801,high
GCF_000010145.1__pp2__531913-574579__LAF_RS02605,GCF_000010145.1,pp2,hypothetical protein,248,potassium-transporting ATPase subunit KdpA,GCF_000148815.2__pp5__12196-41603__LPST_RS15260,pp5,0.9701,high
GCF_000010145.1__pp2__531913-574579__LAF_RS02625,GCF_000010145.1,pp2,hypothetical protein,63,phage head-tail connector protein,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10550,pp5,0.9784,high
GCF_000010145.1__pp2__531913-574579__LAF_RS11325,GCF_000010145.1,pp2,hypothetical protein,55,phage tail assembly chaperone,GCF_000014425.1__pp1__600763-679301__LGAS_RS03050,pp1,0.9571,high
GCF_000010145.1__pp2__531913-574579__LAF_RS02635,GCF_000010145.1,pp2,hypothetical protein,175,DUF5067 domain-containing protein,GCF_000248095.2__pp2__574154-622103__LBLM1_RS11710,pp2,0.97,high
GCF_000010145.1__pp2__531913-574579__LAF_RS10535,GCF_000010145.1,pp2,hypothetical protein,106,DUF771 domain-containing protein,GCF_000338115.2__pp4__2405913-2448170__ZJ316_RS11610,pp4,0.9904,high
GCF_000010145.1__pp2__531913-574579__LAF_RS11545,GCF_000010145.1,pp2,hypothetical protein,41,Prophage Lp3 protein 24,GCA_000392485.2__pp2__2026993-2083990__LBP_cg2019,pp2,0.9483,high
GCF_000010145.1__pp2__531913-574579__LAF_RS11365,GCF_000010145.1,pp2,hypothetical protein,55,DUF1056 family protein,GCF_000026505.1__pp2__1528627-1569239__LGG_RS16420,pp2,0.9828,high
GCF_000010145.1__pp2__531913-574579__LAF_RS02660,GCF_000010145.1,pp2,hypothetical protein,66,head-tail connector protein,GCF_000014425.1__pp2__1464980-1483558__LGAS_RS07305,pp2,0.9799,high
GCF_000010145.1__pp2__531913-574579__LAF_RS02695,GCF_000010145.1,pp2,hypothetical protein,149,phage head-tail connector protein,GCF_000008065.1__pp2__1286306-1330377__LJ_RS06175,pp2,0.9822,high
GCF_000010145.1__pp2__531913-574579__LAF_RS02700,GCF_000010145.1,pp2,hypothetical protein,152,ArpU family phage packaging/lysis transcriptional regulator,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10355,pp5,0.9838,high
GCF_000010145.1__pp2__531913-574579__LAF_RS02705,GCF_000010145.1,pp2,hypothetical protein,270,DUF4393 domain-containing protein,GCF_000165775.1__pp3__1750321-1777635__R0052_RS10925,pp3,0.9917,high
GCF_000010145.1__pp2__531913-574579__LAF_RS02710,GCF_000010145.1,pp2,hypothetical protein,168,HNH endonuclease,GCF_001704335.1__pp1__2461-18355__AVR83_RS00095,pp1,0.9804,high
GCF_000010145.1__pp2__531913-574579__LAF_RS02725,GCF_000010145.1,pp2,hypothetical protein,60,DUF1056 family protein,GCF_000338115.2__pp3__2072879-2122999__ZJ316_RS09820,pp3,0.9839,high
GCF_000010145.1__pp2__531913-574579__LAF_RS02750,GCF_000010145.1,pp2,hypothetical protein,145,host-nuclease inhibitor Gam family protein,GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09425,pp2,0.9841,high
GCF_000010145.1__pp2__531913-574579__LAF_RS11335,GCF_000010145.1,pp2,hypothetical protein,58,preprotein translocase subunit TatB,GCF_041888805.1__pp4__1529913-1535609__ACEPPB_RS07570,pp4,0.9463,high
GCF_000010145.1__pp2__531913-574579__LAF_RS02795,GCF_000010145.1,pp2,hypothetical protein,85,"phage major tail protein, TP901-1 family",GCF_000008065.1__pp2__1286306-1330377__LJ_RS06155,pp2,0.9793,high
GCF_000010145.1__pp2__531913-574579__LAF_RS02800,GCF_000010145.1,pp2,hypothetical protein,158,head-tail connector protein,GCF_000338115.2__pp4__2405913-2448170__ZJ316_RS11500,pp4,0.9925,high
GCF_000010145.1__pp2__531913-574579__LAF_RS02810,GCF_000010145.1,pp2,hypothetical protein,162,pyocin knob domain-containing protein,GCF_000010145.1__pp2__531913-574579__LAF_RS02805,pp2,0.9876,high
GCF_000010145.1__pp2__531913-574579__LAF_RS02815,GCF_000010145.1,pp2,hypothetical protein,106,hemolysin XhlA family protein,GCF_000023085.1__pp3__1024428-1064020__JDM1_RS05025,pp3,0.9791,high
GCF_000010145.1__pp3__759458-769856__LAF_RS03820,GCF_000010145.1,pp3,hypothetical protein,191,Ltp family lipoprotein,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS19235,pp5,0.9578,high
GCF_000010145.1__pp3__759458-769856__LAF_RS10730,GCF_000010145.1,pp3,hypothetical protein,178,DUF5067 domain-containing protein,GCF_000248095.2__pp2__574154-622103__LBLM1_RS11710,pp2,0.9383,high
